accuracy,time_played,deaths,score,performance
62.472407130841745,30.36462217224816,6,596.7873685084406,1
97.04285838459498,69.6091042116194,2,1108.2514311894347,2
83.9196365086843,106.0240419464049,13,851.9999580545353,2
75.91950905182219,90.54473750505173,9,743.1183691080204,1
49.36111842654619,98.72172626475947,15,417.980218312204,0
49.35967122017216,82.46617033817891,15,475.07166909204784,0
43.48501673009197,86.15042209696377,9,541.7746196419758,0
91.97056874649611,103.41152167218512,12,1005.2928862005339,2
76.06690070459253,37.46348097451045,5,772.2037664820479,1
82.48435466776273,63.83674600074545,11,727.3604085782836,1
41.23506965774815,34.33303860015624,8,360.6991959391505,0
98.19459112971967,118.64348087963117,12,1117.3456296539803,2
89.94655844802531,113.84652736552746,3,1113.0830582341318,2
52.74034664069657,14.33694925053565,10,395.7034887738434,0
50.909498032426036,87.61326897672573,19,430.7527799197726,0
51.00427059120603,111.77731491572324,17,415.1275754127265,0
58.254534577572265,29.863287964006688,10,457.48835281132597,0
71.48538589793426,72.47397536078924,3,760.592240149805,1
65.91670111852694,110.7037127346846,17,649.0530275720603,1
57.47374841188251,13.734057644437872,0,637.9107743937055,1
76.71117368334276,86.71622939715239,6,842.852894267814,2
48.36963163912251,42.70839081098058,5,450.46661417620794,0
57.528678912113094,111.68358149141834,14,587.6664974272363,1
61.9817105976215,116.81640696819045,17,574.1209253789056,0
67.36419905302216,113.86931380247773,10,711.5720829004898,1
87.11055768358082,62.16356383232102,19,727.3823887659127,1
51.98042692950158,104.82469160882448,14,481.5540413867311,0
70.8540663048167,102.90043383885774,15,611.0240440776778,1
75.54487413172255,45.10105205675812,6,688.4451219125824,1
42.78702476319987,101.18070215657451,9,415.0686286043501,0
76.45269111408629,14.070839818704188,11,640.0441866070815,1
50.23144742123749,75.58968663302583,13,466.01411938723476,0
43.90309557911677,35.30097210164733,4,454.65890471987046,0
96.93313223519999,23.262357435500668,17,790.2426198469984,2
97.93792198447356,18.464852179213008,4,1015.9068670090174,2
88.50384088698766,86.59176534659537,2,998.6086130218115,2
58.27682615040224,47.38624601448728,4,637.8646273949179,1
45.86032684038303,89.72434486816375,16,319.071182769864,0
81.05398159072942,17.18919748788366,18,643.8536981962292,1
66.40914962437608,44.68193716136714,18,421.2138086555873,0
47.32229409068673,69.34404216128709,11,411.40696927741965,0
69.71061460667622,96.97954813228598,8,741.1797666446795,1
42.063311266913104,45.06277532252769,0,434.4451134780758,0
94.55922412472692,78.848051408071,17,849.9171229338394,2
55.52679889600101,107.45755230598058,3,735.8782869820454,1
79.75133706123893,77.74495070005351,9,808.5325884634187,2
58.70266456536466,35.62554222289971,6,491.26534849789215,0
71.20408127066865,12.684085971219183,0,836.5782963917105,2
72.80261676059678,105.71087612910229,16,726.9094596892547,1
51.091267331531625,12.339635193542584,1,652.3030458848993,1
98.17507766587352,106.21718399526193,10,1003.9296826549444,2
86.50796940166687,68.18308474299332,8,929.3399749115042,2
96.36993649385136,113.29744683641857,6,1139.257952981059,2
93.68964102565893,97.8661559351032,16,878.0999669719276,2
75.8739987286651,119.77275215866712,16,828.8380366569465,2
95.312454101387,48.57829969968812,1,1015.0106400325574,2
45.30955012311517,94.39071178242396,5,548.8323538247694,0
51.75897174514871,54.21240049701664,13,257.44302384860123,0
42.71363733463228,62.786318233429974,5,498.16041250031464,0
59.519819845795865,79.0256009540207,1,671.9739047818797,1
63.320637381368925,106.10448256049726,0,817.8792791499081,2
56.28094190643375,118.24918161192247,9,612.9968003509312,1
89.72425054911577,94.51007552509701,4,1007.9510795754385,2
61.40519960161536,55.95434603840671,1,733.1546996038387,1
56.85607058124285,56.34927025047772,15,456.8163244658219,0
72.56176498949492,91.13405317477806,1,928.3678207697956,2
48.45545349848576,36.26548603451326,9,485.3669838331657,0
88.13181884524238,22.152152444453414,1,892.1826965074388,2
44.47303862078625,49.00843734048542,15,293.8188987880277,0
99.21321619603104,41.596289081948996,15,898.2111228073088,2
86.33468615779944,42.59389325015891,18,730.3870125153086,1
51.92294089205035,35.696852615490094,6,537.6526575566361,0
40.331327027416144,14.630250859999807,11,219.9648316571936,0
88.92768570729005,11.966132820675519,14,724.3418759893317,1
82.41144063085703,118.64946287096348,7,961.8868622528618,2
83.74043008245924,57.055044710944856,5,929.1408373139652,2
86.27622080115674,52.275931187564986,9,803.67046590981,2
44.442679104045425,84.76120109623768,2,500.6186786754338,0
61.507943712656356,34.007927665157055,18,447.6071324758913,0
46.95214357150778,114.49573023452479,16,330.59447702127227,0
91.78620555253562,96.49795158571072,6,984.282288501961,2
77.39788760965348,19.835210254348546,19,477.4895210393172,0
59.85388149115895,55.93388533634212,3,613.9098520389864,1
43.81350101716142,106.70301383183812,13,419.0894642875357,0
58.65893930293973,113.92052245205514,19,590.2991164210891,1
59.51099932160482,61.414166237485674,14,548.9660966413383,0
83.77637070028385,77.47525281317785,7,875.1276785295689,2
78.25344828131279,28.373734070128275,14,685.9631245463368,1
93.23276455457959,119.02854887506741,19,832.269885537612,2
68.33289550971696,35.483887152178774,13,499.38256011416934,0
47.1756547562981,113.70049515486382,8,622.3373708350382,1
82.7946872333797,81.46113138916053,7,914.8512965782504,2
